source, target
7970992, 301120393
7970992, 305587868
7970992, 1385863352
7970992, 2319472112
7970992, 2582582359
7970992, 3003603519
7970992, 3435893926
7970992, 731448075105996800
7970992, 955828986038407169
14513512, 80573898
14513512, 243687497
14513512, 290632880
14513512, 319901569
14513512, 323870386
14513512, 327722701
14513512, 328206473
14513512, 518476056
14513512, 608149239
14513512, 974476958
14513512, 996705444
14513512, 1641459038
14513512, 1938878996
14513512, 2154420058
14513512, 2437605457
14513512, 2484697919
14513512, 2582582359
14513512, 2587029252
14513512, 2592887184
14513512, 712612878717743104
14513512, 742307620606889984
14513512, 783099007971262464
14513512, 923766052366028800
14513512, 934228610772324352
14803493, 301120393
14803493, 597101298
14803493, 2506738925
14803493, 2954089838
14803493, 837081771472715781
15111744, 615314107
16248292, 94607562
16248292, 301120393
16248292, 319901569
16248292, 754335954
16248292, 1728380701
16248292, 1927514377
16248292, 3055703094
16248292, 731448075105996800
16248292, 837081771472715781
16624525, 80573898
16624525, 161113335
16624525, 238897491
16624525, 281160360
16624525, 306260807
16624525, 414187574
16624525, 432618159
16624525, 455143024
16624525, 518476056
16624525, 567564394
16624525, 2219659092
16624525, 2861144914
16624525, 2955998474
16624525, 3055703094
16624525, 783099007971262464
16624525, 819246519983472652
16624525, 844546626299609088
36636494, 80573898
36636494, 86266936
36636494, 204298620
36636494, 229980720
36636494, 248188034
36636494, 249144163
36636494, 254665376
36636494, 263891746
36636494, 377062312
36636494, 424194891
36636494, 432424572
36636494, 518476056
36636494, 1018255609
36636494, 1092542761
36636494, 1591529323
36636494, 1674182551
36636494, 2249591503
36636494, 2793115700
36636494, 3323870657
36636494, 3816773441
36636494, 706217324563578881
36636494, 744546109394124800
42196320, 52357763
42196320, 75997536
42196320, 80573898
42196320, 133266187
42196320, 224597174
42196320, 243687497
42196320, 246754124
42196320, 247786110
42196320, 260096049
42196320, 274895833
42196320, 326074480
42196320, 336851152
42196320, 369608964
42196320, 399963628
42196320, 476356296
42196320, 999015997
42196320, 1002650592
42196320, 1280752188
42196320, 1340284172
42196320, 1664756965
42196320, 2316138426
42196320, 2699106120
42196320, 2742009028
42196320, 2792349332
42196320, 3816773441
42196320, 4015698976
42196320, 726196189524295680
42196320, 726911179063451648
42196320, 760805201951481856
42196320, 809007545574625280
42196320, 974952462405783552
52067288, 80573898
52067288, 160590039
52067288, 229980720
52067288, 238897491
52067288, 246754124
52067288, 249654545
52067288, 255935216
52067288, 274895833
52067288, 297419374
52067288, 377062312
52067288, 378231256
52067288, 399963628
52067288, 432424572
52067288, 446318129
52067288, 476356296
52067288, 810987649
52067288, 1061600605
52067288, 1278543582
52067288, 1707859914
52067288, 1871994199
52067288, 2191892464
52067288, 2277166103
52067288, 2316138426
52067288, 3260615157
52067288, 3413314515
52067288, 3816773441
52067288, 724530619087245312
52067288, 726911179063451648
52067288, 797352935432867840
52067288, 798592068679593984
52067288, 839466290217648128
52067288, 915384226270375943
52067288, 958368530843529216
52067288, 960429091211145217
52067288, 962647623567110144
52067288, 964085293455462402
52067288, 974739644154867712
52067288, 978402835476992000
52357763, 42196320
52357763, 2249591503
52357763, 2792349332
52357763, 2793115700
53059376, 56643210
53059376, 243775933
53059376, 249144163
53059376, 334057976
53059376, 616278725
53059376, 1385863352
53059376, 1460798930
53059376, 1529698447
53059376, 2223258386
53059376, 2292758505
53059376, 2594563700
53059376, 2699106120
53059376, 2926325320
53059376, 3413314515
53059376, 800285974030782464
53059376, 867922545407864833
53059376, 887472753405825024
53059376, 907721180538384384
53059376, 962341685027065856
56643210, 53059376
56643210, 166566887
56643210, 301120393
56643210, 526343521
56643210, 1002844374
56643210, 1385863352
56643210, 736509061441703936
56643210, 821313315309834240
58017260, 290178890
58017260, 301120393
58017260, 306260807
58017260, 363246406
58017260, 615314107
58017260, 754335954
58017260, 927351564
58017260, 1002844374
58017260, 1340284172
58017260, 1438404972
58017260, 2224962036
58017260, 2582582359
58017260, 2951658069
58017260, 2954089838
58017260, 942394622797639680
75997536, 42196320
75997536, 301120393
75997536, 327722701
75997536, 328206473
75997536, 526343521
75997536, 1002844374
75997536, 1385863352
75997536, 2224962036
75997536, 2582582359
80573898, 14513512
80573898, 16624525
80573898, 36636494
80573898, 42196320
80573898, 52067288
80573898, 301120393
80573898, 305587868
80573898, 419765116
80573898, 1002844374
80573898, 1183658534
80573898, 2954089838
80573898, 794260826798559233
82477460, 86266936
82477460, 136982031
82477460, 224597174
82477460, 230702066
82477460, 243687497
82477460, 247468980
82477460, 251100437
82477460, 254665376
82477460, 255587866
82477460, 274530882
82477460, 319901569
82477460, 377220633
82477460, 432424572
82477460, 491283324
82477460, 567229050
82477460, 592314798
82477460, 612992455
82477460, 728704327
82477460, 783313538
82477460, 1529698447
82477460, 1641459038
82477460, 1664756965
82477460, 1728380701
82477460, 1904138971
82477460, 2165607934
82477460, 2185059396
82477460, 2292758505
82477460, 2352970223
82477460, 2399339752
82477460, 2475077852
82477460, 2580174954
82477460, 2592887184
82477460, 2820698229
82477460, 2954089838
82477460, 2955998474
82477460, 3018337576
82477460, 3318544431
82477460, 4381153354
82477460, 4544956708
82477460, 719277033503780865
82477460, 724530619087245312
82477460, 735560020310544389
82477460, 742799027587174400
82477460, 773054843950927872
82477460, 804021283646304256
82477460, 812330176939966464
82477460, 847360297660579840
82477460, 887472753405825024
82477460, 900058096034361345
82477460, 915384226270375943
82477460, 923766052366028800
82477460, 928599515854262272
82477460, 931121059818074112
82477460, 934395557531082752
82477460, 955828986038407169
82477460, 974405745688170497
82477460, 975437930641674240
82477460, 976913351556165632
86266936, 36636494
86266936, 82477460
86266936, 301120393
86266936, 363246406
86266936, 2580174954
89221733, 336851152
89221733, 715219325
89221733, 916943462
89221733, 1506170269
89221733, 1871994199
89221733, 2249591503
89221733, 2792349332
89221733, 2948787802
89221733, 719721270070353921
89221733, 722433365517955072
89221733, 842004888603262977
94607562, 16248292
94607562, 243775933
94607562, 305587868
94607562, 419765116
94607562, 526343521
94607562, 1002844374
94607562, 1385863352
94607562, 837081771472715781
97232128, 243687497
97232128, 249654545
97232128, 251100437
97232128, 319901569
97232128, 326074480
97232128, 377062312
97232128, 411346195
97232128, 586845018
97232128, 999015997
97232128, 1018255609
97232128, 1570421118
97232128, 1904138971
97232128, 2910159072
97232128, 3260615157
97232128, 3816773441
97232128, 713103256742936576
97232128, 726911179063451648
97232128, 744546109394124800
97232128, 928025225769443329
97232128, 973135425660432386
100201393, 334057976
100201393, 490086192
100201393, 1927514377
100201393, 2582582359
100201393, 3154036550
100201393, 3795619754
100201393, 967817169143828490
103591569, 204298620
103591569, 616278725
103591569, 1318153052
103591569, 2249591503
103591569, 2910159072
103591569, 2948787802
103591569, 842004888603262977
103591569, 843538544853471235
103591569, 895782680633253888
109035884, 161113335
109035884, 370556715
109035884, 419233834
109035884, 450704412
109035884, 597101298
109035884, 1340284172
109035884, 1385863352
109035884, 1438404972
109035884, 1927514377
109035884, 2292758505
109035884, 2506738925
109035884, 2951658069
109035884, 727904477353783296
109035884, 729034544242933760
109035884, 799430289554624514
109035884, 803790087544770561
109035884, 860509901046640644
109035884, 894548629205254144
109035884, 907721180538384384
109035884, 918597513640374272
109035884, 925373976905420801
109035884, 929811697308717062
109035884, 955186904714170371
109035884, 970362267073155073
118970094, 2792349332
133266187, 42196320
133266187, 301120393
133266187, 336851152
136982031, 82477460
136982031, 268545568
136982031, 425912197
136982031, 754335954
136982031, 1018255609
136982031, 1183658534
136982031, 1641459038
136982031, 2951658069
136982031, 727904477353783296
136982031, 800413017649266688
136982031, 839466290217648128
136982031, 915384226270375943
137140334, 2291448871
160590039, 52067288
160590039, 2156589938
161113335, 16624525
161113335, 109035884
161113335, 251100437
161113335, 275694766
161113335, 394864353
161113335, 737493661
161113335, 1641459038
161113335, 2580174954
161113335, 729034544242933760
161113335, 783099007971262464
163041731, 363246406
163041731, 624686972
163041731, 1136829066
163041731, 1257203264
163041731, 3003603519
166566887, 56643210
166566887, 224597174
166566887, 246754124
166566887, 247786110
166566887, 263891746
166566887, 282065689
166566887, 290722577
166566887, 424194891
166566887, 586845018
166566887, 1729699520
166566887, 2223258386
166566887, 2258288874
166566887, 2536004080
166566887, 2544099769
166566887, 2587029252
166566887, 3413314515
166566887, 4243671285
166566887, 719277033503780865
166566887, 742307620606889984
166566887, 797352935432867840
166566887, 799713172651261952
166566887, 925090271116824577
166566887, 928025225769443329
166566887, 931008157475835904
166566887, 964085293455462402
166566887, 968787409730265088
166566887, 976913351556165632
167990892, 301120393
167990892, 466446202
167990892, 2224962036
167990892, 2971173940
167990892, 3435893926
167990892, 942394622797639680
167990892, 955186904714170371
179897514, 615314107
182473366, 301120393
182473366, 1385863352
182473366, 736509061441703936
191803770, 267714517
191803770, 290178890
191803770, 301120393
191803770, 2156589938
204298620, 36636494
204298620, 103591569
204298620, 916943462
204298620, 2249591503
204298620, 2792349332
224597174, 42196320
224597174, 82477460
224597174, 166566887
224597174, 301120393
224597174, 320954038
224597174, 754335954
224597174, 927351564
224597174, 1002844374
224597174, 4784978140
229980720, 36636494
229980720, 52067288
229980720, 301120393
229980720, 624686972
229980720, 1136829066
229980720, 968787409730265088
230702066, 82477460
230702066, 267714517
230702066, 624686972
230702066, 1002844374
230702066, 1183658534
230702066, 2951658069
238897491, 16624525
238897491, 52067288
238897491, 301120393
238897491, 327722701
238897491, 624686972
238897491, 2224962036
238897491, 3003603519
238897491, 815626754765258753
243253280, 754335954
243253280, 1002844374
243419888, 336851152
243419888, 916943462
243419888, 2249591503
243687497, 14513512
243687497, 42196320
243687497, 82477460
243687497, 97232128
243687497, 252254904
243687497, 274530882
243687497, 290178890
243687497, 301120393
243687497, 320954038
243687497, 334057976
243687497, 363246406
243687497, 370556715
243687497, 419765116
243687497, 615314107
243687497, 624686972
243687497, 754335954
243687497, 1002844374
243687497, 1134792108
243687497, 1136829066
243687497, 1183658534
243687497, 1340284172
243687497, 1385863352
243687497, 1927514377
243687497, 2156589938
243687497, 2224962036
243687497, 2277166103
243687497, 2292758505
243687497, 2506738925
243687497, 2951658069
243687497, 2954089838
243687497, 727904477353783296
243687497, 731448075105996800
243687497, 736509061441703936
243687497, 740694544522608641
243687497, 792426421146750976
243687497, 794260826798559233
243687497, 799430289554624514
243687497, 803790087544770561
243687497, 821313315309834240
243687497, 837081771472715781
243687497, 894548629205254144
243687497, 903624281497722880
243687497, 925373976905420801
243687497, 925889904248344576
243687497, 942394622797639680
243687497, 943405190279061504
243687497, 955828986038407169
243687497, 968143264674205696
243687497, 973417924257091584
243775933, 53059376
243775933, 94607562
243775933, 247912552
243775933, 258090997
243775933, 267714517
243775933, 274530882
243775933, 334057976
243775933, 419233834
243775933, 476356296
243775933, 575277349
243775933, 701054891
243775933, 919558969
243775933, 961361910
243775933, 1212626137
243775933, 1385863352
243775933, 1654242836
243775933, 1728380701
243775933, 1927514377
243775933, 2165607934
243775933, 2580174954
243775933, 2952265706
243775933, 3059821312
243775933, 3293436133
243775933, 3323870657
243775933, 719277033503780865
243775933, 724530619087245312
243775933, 736509061441703936
243775933, 741153195263692801
243775933, 765789381793841152
243775933, 773054843950927872
243775933, 797352935432867840
243775933, 798592068679593984
243775933, 800285974030782464
243775933, 800413017649266688
243775933, 819246519983472652
243775933, 830725698109263872
243775933, 860509901046640644
243775933, 907721180538384384
243775933, 925687944412884992
243775933, 930125137269198850
243775933, 934228610772324352
243775933, 934395557531082752
243775933, 952172276732039168
243775933, 954292325903163392
243775933, 960566026525081601
243775933, 968787409730265088
243775933, 974952462405783552
243775933, 977916662753226753
243775933, 978018490803261442
243775933, 978402835476992000
245880979, 916943462
245880979, 2792349332
246747627, 301120393
246754124, 42196320
246754124, 52067288
246754124, 166566887
246754124, 301120393
246754124, 363246406
246754124, 394864353
246754124, 450704412
246754124, 526343521
246754124, 549912548
246754124, 927351564
246754124, 941413286
246754124, 1002844374
246754124, 1257203264
246754124, 1927514377
246754124, 2224962036
246754124, 2484697919
246754124, 3003603519
246754124, 815626754765258753
246754124, 942394622797639680
247227134, 301120393
247227134, 754335954
247227134, 1002844374
247227134, 1340284172
247227134, 3003603519
247227134, 736509061441703936
247468980, 82477460
247468980, 615314107
247468980, 1385863352
247468980, 2224962036
247468980, 2277166103
247468980, 2580174954
247468980, 2954089838
247786110, 42196320
247786110, 166566887
247786110, 301120393
247786110, 363246406
247786110, 450704412
247786110, 2156589938
247912552, 243775933
247912552, 450704412
247912552, 927351564
247912552, 1002844374
247912552, 1183658534
247912552, 1385863352
247912552, 2506738925
